Training: 2021-04-10 19:44:24,605-rank_id: 0
Training: 2021-04-10 20:33:54,784-Speed 766.09 samples/sec   Loss 17.7150   Epoch: 0   Global Step: 4350   Required: 54 hours
Training: 2021-04-10 20:34:28,543-Speed 758.33 samples/sec   Loss 17.6049   Epoch: 0   Global Step: 4400   Required: 54 hours
Training: 2021-04-10 20:35:02,279-Speed 758.83 samples/sec   Loss 17.5382   Epoch: 0   Global Step: 4450   Required: 54 hours
Training: 2021-04-10 20:35:35,772-Speed 764.35 samples/sec   Loss 17.4245   Epoch: 0   Global Step: 4500   Required: 54 hours
Training: 2021-04-10 20:36:09,455-Speed 760.05 samples/sec   Loss 17.3739   Epoch: 0   Global Step: 4550   Required: 54 hours
Training: 2021-04-10 20:36:42,819-Speed 767.29 samples/sec   Loss 17.1587   Epoch: 0   Global Step: 4600   Required: 54 hours
Training: 2021-04-10 20:37:16,228-Speed 766.27 samples/sec   Loss 17.1774   Epoch: 0   Global Step: 4650   Required: 54 hours
Training: 2021-04-10 20:37:49,630-Speed 766.45 samples/sec   Loss 17.0805   Epoch: 0   Global Step: 4700   Required: 54 hours
Training: 2021-04-10 20:38:23,036-Speed 766.32 samples/sec   Loss 17.1556   Epoch: 0   Global Step: 4750   Required: 54 hours
Training: 2021-04-10 20:38:56,595-Speed 762.85 samples/sec   Loss 17.0421   Epoch: 0   Global Step: 4800   Required: 54 hours
Training: 2021-04-10 20:39:30,052-Speed 765.18 samples/sec   Loss 17.0052   Epoch: 0   Global Step: 4850   Required: 54 hours
Training: 2021-04-10 20:40:03,689-Speed 761.08 samples/sec   Loss 16.9602   Epoch: 0   Global Step: 4900   Required: 54 hours
Training: 2021-04-10 20:40:37,099-Speed 766.25 samples/sec   Loss 16.7752   Epoch: 0   Global Step: 4950   Required: 54 hours
Training: 2021-04-10 20:41:10,544-Speed 765.44 samples/sec   Loss 16.6990   Epoch: 0   Global Step: 5000   Required: 54 hours
Training: 2021-04-10 20:41:44,377-Speed 756.67 samples/sec   Loss 16.8261   Epoch: 0   Global Step: 5050   Required: 54 hours
Training: 2021-04-10 20:42:17,800-Speed 765.97 samples/sec   Loss 16.6323   Epoch: 0   Global Step: 5100   Required: 54 hours
Training: 2021-04-10 20:42:51,284-Speed 764.55 samples/sec   Loss 16.6613   Epoch: 0   Global Step: 5150   Required: 54 hours
Training: 2021-04-10 20:43:24,682-Speed 766.53 samples/sec   Loss 16.5027   Epoch: 0   Global Step: 5200   Required: 54 hours
Training: 2021-04-10 20:43:58,042-Speed 767.39 samples/sec   Loss 16.4552   Epoch: 0   Global Step: 5250   Required: 54 hours
Training: 2021-04-10 20:44:31,427-Speed 766.83 samples/sec   Loss 16.4589   Epoch: 0   Global Step: 5300   Required: 54 hours
Training: 2021-04-10 20:45:05,228-Speed 757.38 samples/sec   Loss 16.3997   Epoch: 0   Global Step: 5350   Required: 54 hours
Training: 2021-04-10 20:45:38,677-Speed 765.36 samples/sec   Loss 16.4361   Epoch: 0   Global Step: 5400   Required: 54 hours
Training: 2021-04-10 20:46:12,139-Speed 765.06 samples/sec   Loss 16.3019   Epoch: 0   Global Step: 5450   Required: 54 hours
Training: 2021-04-10 20:46:45,642-Speed 764.11 samples/sec   Loss 16.2744   Epoch: 0   Global Step: 5500   Required: 54 hours
Training: 2021-04-10 20:47:19,581-Speed 754.32 samples/sec   Loss 16.2676   Epoch: 0   Global Step: 5550   Required: 54 hours
Training: 2021-04-10 20:47:53,136-Speed 762.92 samples/sec   Loss 16.2553   Epoch: 0   Global Step: 5600   Required: 54 hours
Training: 2021-04-10 20:48:26,501-Speed 767.30 samples/sec   Loss 16.1731   Epoch: 0   Global Step: 5650   Required: 54 hours
Training: 2021-04-10 20:49:49,168-[lfw][5686]XNorm: 22.054425
Training: 2021-04-10 20:49:49,168-[lfw][5686]Accuracy-Flip: 0.98917+-0.00417
Training: 2021-04-10 20:49:49,168-[lfw][5686]Accuracy-Highest: 0.98917
Training: 2021-04-10 20:50:56,407-[cfp_fp][5686]XNorm: 19.114371
Training: 2021-04-10 20:50:56,407-[cfp_fp][5686]Accuracy-Flip: 0.83371+-0.01663
Training: 2021-04-10 20:50:56,407-[cfp_fp][5686]Accuracy-Highest: 0.83371
Training: 2021-04-10 20:51:54,177-[agedb_30][5686]XNorm: 21.658889
Training: 2021-04-10 20:51:54,177-[agedb_30][5686]Accuracy-Flip: 0.92983+-0.01045
Training: 2021-04-10 20:51:54,177-[agedb_30][5686]Accuracy-Highest: 0.92983
Training: 2021-04-10 20:52:03,428-Speed 118.01 samples/sec   Loss 16.2183   Epoch: 0   Global Step: 5700   Required: 57 hours
Training: 2021-04-10 20:52:36,556-Speed 772.76 samples/sec   Loss 16.0593   Epoch: 0   Global Step: 5750   Required: 57 hours
Training: 2021-04-10 20:53:09,813-Speed 769.77 samples/sec   Loss 15.8990   Epoch: 0   Global Step: 5800   Required: 57 hours
Training: 2021-04-10 20:53:43,104-Speed 769.00 samples/sec   Loss 16.0345   Epoch: 0   Global Step: 5850   Required: 57 hours
Training: 2021-04-10 20:54:16,528-Speed 765.93 samples/sec   Loss 16.0055   Epoch: 0   Global Step: 5900   Required: 57 hours
Training: 2021-04-10 20:54:49,961-Speed 765.73 samples/sec   Loss 15.9171   Epoch: 0   Global Step: 5950   Required: 57 hours
Training: 2021-04-10 20:55:23,581-Speed 761.46 samples/sec   Loss 15.9470   Epoch: 0   Global Step: 6000   Required: 57 hours
Training: 2021-04-10 20:55:57,254-Speed 760.27 samples/sec   Loss 15.8965   Epoch: 0   Global Step: 6050   Required: 56 hours
Training: 2021-04-10 20:56:30,886-Speed 761.19 samples/sec   Loss 15.9684   Epoch: 0   Global Step: 6100   Required: 56 hours
Training: 2021-04-10 20:57:04,612-Speed 759.07 samples/sec   Loss 15.7750   Epoch: 0   Global Step: 6150   Required: 56 hours
Training: 2021-04-10 20:57:38,129-Speed 763.81 samples/sec   Loss 15.7476   Epoch: 0   Global Step: 6200   Required: 56 hours
Training: 2021-04-10 20:58:11,704-Speed 762.46 samples/sec   Loss 15.7409   Epoch: 0   Global Step: 6250   Required: 56 hours
Training: 2021-04-10 20:58:45,530-Speed 756.83 samples/sec   Loss 15.6989   Epoch: 0   Global Step: 6300   Required: 56 hours
Training: 2021-04-10 20:59:18,983-Speed 765.27 samples/sec   Loss 15.5966   Epoch: 0   Global Step: 6350   Required: 56 hours
Training: 2021-04-10 20:59:52,574-Speed 762.13 samples/sec   Loss 15.7570   Epoch: 0   Global Step: 6400   Required: 56 hours
Training: 2021-04-10 21:00:25,940-Speed 767.26 samples/sec   Loss 15.5221   Epoch: 0   Global Step: 6450   Required: 56 hours
Training: 2021-04-10 21:00:59,554-Speed 761.58 samples/sec   Loss 15.5864   Epoch: 0   Global Step: 6500   Required: 56 hours
Training: 2021-04-10 21:01:33,350-Speed 757.49 samples/sec   Loss 15.3726   Epoch: 0   Global Step: 6550   Required: 56 hours
Training: 2021-04-10 21:02:06,801-Speed 765.31 samples/sec   Loss 15.5983   Epoch: 0   Global Step: 6600   Required: 56 hours
Training: 2021-04-10 21:02:40,595-Speed 757.55 samples/sec   Loss 15.4474   Epoch: 0   Global Step: 6650   Required: 56 hours
Training: 2021-04-10 21:03:14,321-Speed 759.06 samples/sec   Loss 15.4760   Epoch: 0   Global Step: 6700   Required: 56 hours
Training: 2021-04-10 21:03:47,961-Speed 761.01 samples/sec   Loss 15.4305   Epoch: 0   Global Step: 6750   Required: 56 hours
Training: 2021-04-10 21:04:21,754-Speed 757.58 samples/sec   Loss 15.3380   Epoch: 0   Global Step: 6800   Required: 56 hours
Training: 2021-04-10 21:04:55,319-Speed 762.71 samples/sec   Loss 15.3280   Epoch: 0   Global Step: 6850   Required: 56 hours
Training: 2021-04-10 21:05:28,959-Speed 761.01 samples/sec   Loss 15.3394   Epoch: 0   Global Step: 6900   Required: 56 hours
Training: 2021-04-10 21:06:02,374-Speed 766.13 samples/sec   Loss 15.4273   Epoch: 0   Global Step: 6950   Required: 56 hours
